,course_title,start_date,students_number
553,PHP-разработчик с 0 до PRO. Часть 1,2017-11-01,0
554,PHP-разработчик с 0 до PRO. Часть 1,2017-12-01,0
555,PHP-разработчик с 0 до PRO. Часть 1,2018-01-01,0
556,PHP-разработчик с 0 до PRO. Часть 1,2018-02-01,0
557,PHP-разработчик с 0 до PRO. Часть 1,2018-03-01,11
558,PHP-разработчик с 0 до PRO. Часть 1,2018-04-01,13
559,PHP-разработчик с 0 до PRO. Часть 1,2018-05-01,34
560,PHP-разработчик с 0 до PRO. Часть 1,2018-06-01,52
561,PHP-разработчик с 0 до PRO. Часть 1,2018-07-01,81
562,PHP-разработчик с 0 до PRO. Часть 1,2018-08-01,98
563,PHP-разработчик с 0 до PRO. Часть 1,2018-09-01,107
564,PHP-разработчик с 0 до PRO. Часть 1,2018-10-01,126
565,PHP-разработчик с 0 до PRO. Часть 1,2018-11-01,139
566,PHP-разработчик с 0 до PRO. Часть 1,2018-12-01,194
567,PHP-разработчик с 0 до PRO. Часть 1,2019-01-01,142
568,PHP-разработчик с 0 до PRO. Часть 1,2019-02-01,87
